Date,Open,High,Low,Close,Volume
2022-06-27 19:00:00,292.62,292.965,291.29,292.48,7582203
2022-06-28 14:00:00,293.98,294.44,289.8301,290.68,7972350
2022-06-28 15:00:00,290.64,290.98,286.16,286.34,7999107
2022-06-28 16:00:00,286.3495,287.5,285.55,286.99,6638858
2022-06-28 17:00:00,286.984,286.99,285.1,285.505,4153521
2022-06-28 18:00:00,285.51,286.19,283.86,284.52,5386539
2022-06-28 19:00:00,284.515,284.8689,283.35,283.47,8229290
2022-06-29 13:00:00,283.1,284.7,280.84,283.9,8397772
2022-06-29 14:00:00,283.85,285.34,282.464,283.93,9070262
2022-06-29 15:00:00,283.95,284.5491,282.635,283.97,4878017
2022-06-29 16:00:00,283.9443,284.0597,281.82,282.97,3886860
2022-06-29 17:00:00,282.98,283.97,282.22,283.9,3571496
2022-06-29 18:00:00,283.88,284.79,282.82,283.1507,3685290
2022-06-29 19:00:00,283.15,284.625,282.79,283.87,6222566
2022-06-30 13:00:00,279.73,281.5196,276.81,276.92,8824374
2022-06-30 14:00:00,276.93,279.24,275.78,279.1,11245012
2022-06-30 15:00:00,279.1199,282.18,278.35,282.1097,8041533
2022-06-30 16:00:00,282.065,283.89,280.365,282.69,6777505
2022-06-30 17:00:00,282.68,283.46,281.0,282.9,5081272
2022-06-30 18:00:00,282.92,283.15,280.24,280.59,4797975
2022-06-30 19:00:00,280.56,281.88,278.68,280.24,12539378
2022-07-01 14:00:00,280.87,282.26,277.03,278.38,8948902
2022-07-01 15:00:00,278.38,280.16,277.63,278.28,5052701
2022-07-01 16:00:00,278.27,279.34,277.65,277.88,3371767
2022-07-01 17:00:00,277.82,279.97,277.76,279.935,4143273
2022-07-01 18:00:00,279.94,281.54,279.0,281.29,3846208
2022-07-01 19:00:00,281.31,282.53,280.39,282.13,8791551
2022-07-05 13:00:00,277.97,279.1,276.7501,278.25,8140501
2022-07-05 14:00:00,278.19,282.11,277.17,280.166,8642490
2022-07-05 15:00:00,280.16,281.59,278.69,281.165,4941450
2022-07-05 16:00:00,281.17,283.02,280.551,281.46,5091849
2022-07-05 17:00:00,281.48,284.37,281.4,283.695,5219093
2022-07-05 18:00:00,283.7,286.3,283.23,285.67,5539227
2022-07-05 19:00:00,285.675,287.08,285.08,287.02,8624386
2022-07-06 13:00:00,286.92,288.7355,285.63,288.02,8668234
2022-07-06 14:00:00,287.95,288.57,285.9,287.84,8176147
2022-07-06 15:00:00,287.78,288.1185,285.59,286.605,4166678
2022-07-06 16:00:00,286.605,287.34,286.18,287.25,2725703
2022-07-06 17:00:00,287.26,288.11,287.23,287.9,2414746
2022-07-06 18:00:00,287.9121,290.23,286.53,290.07,8787948
2022-07-06 19:00:00,290.085,290.95,287.88,288.75,7735810
2022-07-07 14:00:00,292.45,293.27,291.37,292.83,5923145
2022-07-07 15:00:00,292.84,293.77,292.28,293.77,4402038
2022-07-07 16:00:00,293.78,294.24,293.43,294.0943,3324389
2022-07-07 17:00:00,294.085,294.68,293.5385,294.671,2906926
2022-07-07 18:00:00,294.69,295.17,294.42,294.875,3941176
2022-07-07 19:00:00,294.89,295.7,294.6,294.94,9409187
2022-07-08 13:00:00,291.94,293.87,291.12,291.78,7989714
